,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_02T02760.1|CDS=1-711|Name=YPL090C/YBR181C|YPL090C/YBR181C,2022.768958,-1.848581484,0.177516425,-10.41357993,2.15E-25,4.29E-24,DOWN,YPL090C/YBR181C,FALSE,NA,HIT
SK1_12T01180.1|CDS=1-366|Name=YLR061W|RPL22A,299.6292375,-2.214507269,0.214557564,-10.32127336,5.65E-25,1.10E-23,DOWN,RPL22A,FALSE,NA,HIT
SK1_10T02020.1|CDS=1-999|Name=YJR009C|TDH2,2226.893643,-3.198984147,0.310240104,-10.31131727,6.26E-25,1.20E-23,DOWN,TDH2,FALSE,NA,HIT
SK1_10T00580.1|CDS=1-684|Name=YJL158C|CIS3,367.3315807,-2.01725494,0.196191088,-10.28209262,8.49E-25,1.62E-23,DOWN,CIS3,FALSE,NA,HIT
SK1_08T02460.1|CDS=1-786|Name=YHR203C|RPS4B,1717.142036,-1.625014117,0.15831315,-10.26455554,1.02E-24,1.94E-23,DOWN,RPS4B,FALSE,NA,HIT
SK1_15T04820.1|CDS=1-2136|Name=YOR381W|FRE3,643.6696801,-2.198770101,0.21436137,-10.25730567,1.10E-24,2.08E-23,DOWN,FRE3,FALSE,NA,HIT
SK1_15T04500.1|CDS=1-876|Name=YOR344C|TYE7,375.3661836,-2.26890003,0.22169027,-10.23454943,1.39E-24,2.61E-23,DOWN,TYE7,FALSE,NA,HIT
SK1_12T03630.1|CDS=1-384|Name=YLR344W|RPL26A,639.0330124,-1.575869013,0.155229077,-10.15189319,3.25E-24,6.09E-23,DOWN,RPL26A,FALSE,NA,HIT
SK1_12T00110.1|CDS=1-1596|Name=YLL055W|YCT1,312.3397056,-2.288354327,0.225690625,-10.13934153,3.70E-24,6.86E-23,DOWN,YCT1,FALSE,NA,HIT
SK1_03T00720.1|CDS=1-1251|Name=YCR012W|PGK 1.00,5870.812141,-2.782296366,0.27443501,-10.13827051,3.74E-24,6.89E-23,DOWN,PGK 1.00,FALSE,NA,HIT
SK1_05T00190.1|CDS=1-498|Name=YEL054C|RPL12A,410.4620671,-1.842877809,0.182285388,-10.10984932,5.00E-24,9.18E-23,DOWN,RPL12A,FALSE,NA,HIT
SK1_12T04490.1|CDS=1-768|Name=YLR441C|RPS1A,1975.895282,-2.015082405,0.200191618,-10.06576811,7.83E-24,1.42E-22,DOWN,RPS1A,FALSE,NA,HIT
SK1_11T00360.1|CDS=1-1767|Name=YKL185W|ASH1,393.217852,-1.685060251,0.167564454,-10.05619158,8.63E-24,1.56E-22,DOWN,ASH1,FALSE,NA,HIT
SK1_04T05450.1|CDS=1-1143|Name=YDR354W|TRP4,570.8890187,-1.704164865,0.16954192,-10.05158409,9.04E-24,1.63E-22,DOWN,TRP4,FALSE,NA,HIT
SK1_10T03340.1|CDS=1-1632|Name=YJR152W|DAL5,656.1602762,-2.515141318,0.250389566,-10.04491264,9.67E-24,1.73E-22,DOWN,DAL5,FALSE,NA,HIT
SK1_14T01030.1|CDS=1-1302|Name=YNL220W|ADE12,599.6708282,-1.56808241,0.15632966,-10.03061358,1.12E-23,1.99E-22,DOWN,ADE12,FALSE,NA,HIT
SK1_14T00090.1|CDS=1-3126|Name=YNL327W|EGT2,312.6715609,-2.559658943,0.255727306,-10.00932978,1.39E-23,2.44E-22,DOWN,EGT2,FALSE,NA,HIT
